route_id,service_id,trip_id,trip_short_name,direction_id,shape_id,trip_headsign
42954,106261467011,232576,6623,0,,San Francisco
42954,106261467011,232579,6635,0,,San Francisco
42954,106261467011,232582,6649,0,,San Francisco
42954,106261467011,232585,6647,0,,San Francisco
84,306260117011,228761,536,1,59,Sacramento
42954,306560117011,232586,6679,0,,San Francisco
42954,306560117011,232588,6683,0,,San Francisco
42954,306560117011,232590,6691,0,,San Francisco
42954,106261467011,232594,6641,0,,San Francisco
42954,306560117011,232595,6693,0,,San Francisco
42954,106261467011,232599,6629,0,,San Francisco
42954,106261467011,232602,6631,0,,San Francisco
42954,306560117011,232603,6653,0,,San Francisco
42954,106261467011,232607,6625,0,,San Francisco
42954,106261467011,232610,6651,0,,San Francisco
42954,306560117011,232611,6695,0,,San Francisco
42954,306560117011,232613,6673,0,,San Francisco
42954,106560457011,232617,6687,0,,San Francisco
42954,306560117011,232619,6697,0,,San Francisco
42954,106261467011,232623,6639,0,,San Francisco
42954,106261467011,232626,6645,0,,San Francisco
42954,106261467011,232629,6621,0,,San Francisco
42954,106261467011,232632,6637,0,,San Francisco
42954,306560117011,232633,6677,0,,San Francisco
42954,106261467011,232637,6643,0,,San Francisco
42954,306560117011,232638,6699,0,,San Francisco
42951,312760117011,195509,301,1,256,St. Louis
42954,206260116142,232574,6623,0,,San Francisco
88,106460537011,210887,122,0,237,New York
42954,206260116142,232577,6635,0,,San Francisco
42954,206260116142,232580,6649,0,,San Francisco
42954,206260116142,232583,6647,0,,San Francisco
42954,103261456145,232587,6679,0,,San Francisco
42954,103261456145,232589,6683,0,,San Francisco
42954,103261456145,232591,6691,0,,San Francisco
42954,206260116142,232592,6641,0,,San Francisco
42954,103261456145,232596,6693,0,,San Francisco
42954,206260116142,232597,6629,0,,San Francisco
42954,206260116142,232600,6631,0,,San Francisco
42954,103261456145,232604,6653,0,,San Francisco
42954,206260116142,232605,6625,0,,San Francisco
42954,206260116142,232608,6651,0,,San Francisco
61,206260116135,231496,681,0,152,Brunswick
61,106261386285,231497,681,0,152,Brunswick
61,206260116135,231499,687,0,152,Brunswick
61,106261386285,231500,687,0,152,Brunswick
61,206260116135,231502,685,0,152,Brunswick
61,106261386285,231503,685,0,152,Brunswick
61,206260116135,231505,683,0,152,Brunswick
61,106261386285,231506,683,0,152,Brunswick
40751,206260116016,230767,2155,1,324,Washington
40751,106260206044,230769,2155,1,324,Washington
88,112460196043,219083,67,1,84,Newport News
40751,206260116016,230774,2193,1,,New York
40751,106260206044,230776,2193,1,,New York
40751,103260196019,210935,2222,0,328,New York
40751,106460256039,210936,2222,0,328,New York
40751,103260476047,210938,2222,0,328,New York
31849,112760267011,231552,7097,1,,Canadian Border
31849,112760267011,231556,7098,0,,Toronto
18650,312760117011,228224,5521,1,,Springfield
18650,312760117011,228229,5522,0,,Galesburg
88,106260487011,228897,171,1,344,Roanoke
31849,212760116016,231549,7097,1,,Canadian Border
31849,106560176025,231550,7097,1,,Canadian Border
31849,106260196023,231551,7097,1,,Canadian Border
31849,212760116016,231553,7098,0,,Toronto
31849,106560176025,231554,7098,0,,Toronto
31849,106260196023,231555,7098,0,,Toronto
61,106262867011,231559,682,1,153,Boston
61,106262867011,231562,684,1,153,Boston
88,206260116016,228893,171,1,344,Roanoke
88,106260206044,228895,171,1,344,Roanoke
42954,103261456145,232612,6695,0,,San Francisco
42954,103261456145,232614,6673,0,,San Francisco
40751,106460537011,210939,2222,0,328,New York
40751,106260487011,230707,2190,0,325,Boston
40751,106260487011,230714,2150,0,327,Boston
36921,312760117011,230717,284,1,280,New York
42954,206560116038,232615,6687,0,,San Francisco
42954,106460396039,232616,6687,0,,San Francisco
42954,103261456145,232618,6687,0,,San Francisco
42954,103261456145,232620,6697,0,,San Francisco
40751,106260487011,228786,2167,1,324,Washington
42954,206260116142,232621,6639,0,,San Francisco
40751,206260116016,230703,2190,0,325,Boston
40751,106260206044,230705,2190,0,325,Boston
40751,206260116016,230710,2150,0,327,Boston
40751,106260206044,230712,2150,0,327,Boston
42954,206260116142,232624,6645,0,,San Francisco
42954,206260116142,232627,6621,0,,San Francisco
88,106460537011,210986,104,0,237,New York
42954,206260116142,232630,6637,0,,San Francisco
42954,103261456145,232634,6677,0,,San Francisco
42954,206260116142,232635,6643,0,,San Francisco
42954,103261456145,232639,6699,0,,San Francisco
88,103260196019,210883,122,0,237,New York
88,106460256039,210884,122,0,237,New York
88,103260476047,210886,122,0,237,New York
40751,206260116016,228782,2167,1,324,Washington
40751,106260206044,228784,2167,1,324,Washington
42954,306560117011,232640,5006,1,,Emeryville
84,306260117011,231478,531,0,61,Oakland
40751,103260476047,230825,2265,1,324,Washington
84,306260117011,225189,541,0,61,Oakland
61,106562907011,231604,696,1,153,Boston
61,106562907011,231607,698,1,153,Boston
61,206560116137,231602,696,1,153,Boston
61,106561436284,231603,696,1,153,Boston
40751,106460537011,230835,2257,1,324,Washington
61,206560116137,231605,698,1,153,Boston
61,106561436284,231606,698,1,153,Boston
40751,103260196019,230831,2257,1,324,Washington
40751,106460256039,230832,2257,1,324,Washington
40751,103260476047,230834,2257,1,324,Washington
88,106260487011,228945,184,0,264,Boston
88,106260487011,228953,136,0,258,Springfield
88,106260487011,228961,94,0,341,Boston
88,106260487011,228969,148,0,258,Springfield
81,112760677011,200513,449,0,125,Chicago
42954,312760117011,228270,5717,0,,Bakersfield
40751,106460537011,230844,2292,0,325,Boston
36923,112460677011,223831,20,0,244,New York
36923,100360727011,223832,20,0,244,New York
88,206260116016,228941,184,0,264,Boston
88,106260206044,228943,184,0,264,Boston
88,206260116016,228949,136,0,258,Springfield
88,106260206044,228951,136,0,258,Springfield
88,206260116016,228957,94,0,341,Boston
88,106260206044,228959,94,0,341,Boston
88,206260116016,228965,148,0,258,Springfield
88,106260206044,228967,148,0,258,Springfield
42954,306560117011,232642,6678,1,,Emeryville
42954,306560117011,232644,6682,1,,Emeryville
42954,306560117011,232646,6686,1,,Emeryville
42954,306560117011,232648,6692,1,,Emeryville
42954,306560117011,232650,6674,1,,Emeryville
42954,106261467011,232654,6624,1,,Emeryville
42954,306560117011,232655,6688,1,,Emeryville
42954,106261467011,232659,6648,1,,Emeryville
42954,106261467011,232662,6628,1,,Emeryville
42954,106261467011,232665,6642,1,,Emeryville
42954,106261467011,232668,6640,1,,Emeryville
42954,306560117011,232669,6668,1,,Emeryville
42954,106261467011,232673,6626,1,,Emeryville
42954,106261467011,232676,6638,1,,Emeryville
42954,106261467011,232679,6632,1,,Emeryville
42954,306560117011,232680,6696,1,,Emeryville
42954,106261467011,232684,6636,1,,Emeryville
42954,106261467011,232687,6650,1,,Emeryville
42954,306560117011,232688,6684,1,,Emeryville
42954,106261467011,232692,6634,1,,Emeryville
42954,306560117011,232693,6698,1,,Emeryville
42954,106261467011,232697,6644,1,,Emeryville
42991,112760607011,219069,1333,0,338,St. Paul
42954,306560117011,232698,6670,1,,Emeryville
42954,106261467011,232702,6630,1,,Emeryville
42991,112760607011,219071,1340,1,337,Chicago
42991,212760116059,219068,1333,0,338,St. Paul
42954,103261456145,232641,5006,1,,Emeryville
42991,212760116059,219070,1340,1,337,Chicago
42954,103261456145,232643,6678,1,,Emeryville
42954,103261456145,232645,6682,1,,Emeryville
42954,103261456145,232647,6686,1,,Emeryville
36921,312760117011,230743,237,0,248,Rensselaer
40751,106260487011,230757,2162,0,327,Boston
42954,103261456145,232649,6692,1,,Emeryville
42954,103261456145,232651,6674,1,,Emeryville
42954,206260116142,232652,6624,1,,Emeryville
42954,103261456145,232656,6688,1,,Emeryville
42954,206260116142,232657,6648,1,,Emeryville
42954,206260116142,232660,6628,1,,Emeryville
42954,206260116142,232663,6642,1,,Emeryville
42954,206260116142,232666,6640,1,,Emeryville
42954,103261456145,232670,6668,1,,Emeryville
42954,206260116142,232671,6626,1,,Emeryville
42954,206260116142,232674,6638,1,,Emeryville
42954,206260116142,232677,6632,1,,Emeryville
42954,103261456145,232681,6696,1,,Emeryville
42954,206260116142,232682,6636,1,,Emeryville
42954,206260116142,232685,6650,1,,Emeryville
42954,103261456145,232689,6684,1,,Emeryville
42954,206260116142,232690,6634,1,,Emeryville
42954,103261456145,232694,6698,1,,Emeryville
42954,206260116142,232695,6644,1,,Emeryville
42954,103261456145,232699,6670,1,,Emeryville
42954,206260116142,232700,6630,1,,Emeryville
42896,112761467011,232705,5619,0,,Las Vegas
88,112460477011,219085,67,1,84,Newport News
42896,112761467011,232708,5612,1,,Santa Barbara
40751,206260116016,230753,2162,0,327,Boston
40751,106260206044,230755,2162,0,327,Boston
61,106262867011,231498,681,0,152,Brunswick
61,106262867011,231501,687,0,152,Brunswick
61,106262867011,231504,685,0,152,Brunswick
61,106262867011,231507,683,0,152,Brunswick
42896,212760116144,232703,5619,0,,Las Vegas
40751,106260487011,230771,2155,1,324,Washington
36926,312760117011,215611,318,0,377,Chicago
36948,312760117011,215614,311,0,255,Kansas City
42896,103261456145,232704,5619,0,,Las Vegas
42896,212760116144,232706,5612,1,,Santa Barbara
40751,106260487011,230778,2193,1,,New York
42896,103261456145,232707,5612,1,,Santa Barbara
88,106460537011,228855,154,0,264,Boston
61,206260116135,231557,682,1,153,Boston
61,106261386285,231558,682,1,153,Boston
88,103260196019,210982,104,0,237,New York
88,106460256039,210983,104,0,237,New York
88,103260476047,210985,104,0,237,New York
61,206260116135,231560,684,1,153,Boston
61,106261386285,231561,684,1,153,Boston
61,106262867011,231565,688,1,153,Boston
61,106562907011,231569,693,0,152,Brunswick
61,106562907011,231572,692,1,153,Boston
61,106562907011,231576,695,0,152,Brunswick
88,103260196019,228851,154,0,264,Boston
88,106460256039,228852,154,0,264,Boston
88,103260476047,228854,154,0,264,Boston
61,106562907011,231580,697,0,152,Brunswick
40751,300160117011,230796,2216,0,328,New York
42954,306260117011,203582,6093,0,,Newport News
61,106562907011,231584,691,0,152,Brunswick
61,106562907011,231587,694,1,153,Boston
61,106262867011,231590,686,1,153,Boston
42954,306260117011,203585,6094,0,,Norfolk
78,112760267011,232727,790,1,151,San Diego
42954,306260117011,203588,6095,1,,Virginia Beach
